id,ime
1265,Jane Austen
1036615,Charlotte Brontë
3565,Oscar Wilde
4191,Emily Brontë
3137322,Fyodor Dostoyevsky
11139,Mary Wollstonecraft Shelley
4785,Alexandre Dumas
8164,Lewis Carroll
6988,Bram Stoker
13661,Victor Hugo
1315,Louisa May Alcott
128382,Leo Tolstoy
1244,Mark Twain
239579,Charles Dickens
2448,Arthur Conan Doyle
1624,Herman Melville
854076,Robert Louis Stevenson
1461,Gustave Flaubert
2938140,Jacob Grimm
7799,Nathaniel Hawthorne
15905,Thomas Hardy
880695,H.G. Wells
1413437,Elizabeth Gaskell
173,George Eliot
4624490,Edgar Allan Poe
3242,L. Frank Baum
285217,Johann Wolfgang von Goethe
12793,Charles Darwin
4012,Wilkie Collins
696805,Jules Verne
3953,William Makepeace Thackeray
6378,Hans Christian Andersen
1438,Walt Whitman
26242,Harriet Beecher Stowe
49,Johanna Spyri
2530,Anna Sewell
2730977,Henrik Ibsen
8249,Anne Brontë
10264,Henry David Thoreau
5132,Kate Chopin
6989,Rudyard Kipling
13847,Charles Baudelaire
7084,Karl Marx
1481537,Stendhal
7440,Emily Dickinson
1938,Friedrich Nietzsche
232932,Nikolai Gogol
4345,Walter Scott
3345,Joseph Conrad
159,Henry James
29527,Charlotte Perkins Gilman
6172,Søren Kierkegaard
18317,Knut Hamsun
228089,Honoré de Balzac
6188,Georg Wilhelm Friedrich Hegel
3352,Jerome K. Jerome
410680,Ivan Turgenev
16070,Alexander Pushkin
9121,James Fenimore Cooper
15123,Carlo Collodi
4750,Émile Zola
13018,Adalbert Stifter
72605,Arthur Rimbaud
187510,Novalis
5158478,Anonymous
439459,Johann Peter Eckermann
53498,Bo Hampton
18943,Frederick Douglass
153341,Comte de Lautréamont
4633123,H. Rider Haggard
5031025,Anton Chekhov
54427,Heinrich von Kleist
20524,Anthony Trollope
26930,J. Sheridan Le Fanu
2897630,Johann David Wyss
4369397,Harriet Ann Jacobs
15538,Mikhail Lermontov
25619,Henryk Sienkiewicz
77556,Leopold von Sacher-Masoch
143178,Christina Rossetti
3093075,Edwin A. Abbott
18791,Guy de Maupassant
57651,John Stuart Mill
19879,Stephen Crane
465,Alexis de Tocqueville
13638502,Alfred Tennyson
11978,John Keats
670859,Edmond Rostand
28525,Washington Irving
45705,Johann Peter Hebel
30775,Anthony Hope
5326370,Ivan Goncharov
