id,naslov,avtor_id,avtor,leto,ocena,st_ocen,st_kritik
1885,Pride and Prejudice,1265,Jane Austen,1813,4.25,2465727,54575
10210,Jane Eyre,1036615,Charlotte Brontë,1847,4.11,1387282,34854
5297,The Picture of Dorian Gray,3565,Oscar Wilde,1890,4.07,779572,23090
6185,Wuthering Heights,4191,Emily Brontë,1847,3.84,1126057,29569
7144,Crime and Punishment,3137322,Fyodor Dostoyevsky,1866,4.2,510326,14616
35031085,Frankenstein,11139,Mary Wollstonecraft Shelley,1818,3.77,978542,24345
7126,The Count of Monte Cristo,4785,Alexandre Dumas,1844,4.23,658188,17669
24213,Alice's Adventures in Wonderland &amp; Through the Looking-Glass,8164,Lewis Carroll,1872,4.07,412252,9217
17245,Dracula,6988,Bram Stoker,1897,3.98,779888,19981
24280,Les Misérables,13661,Victor Hugo,1862,4.15,593608,13141
1934,Little Women,1315,Louisa May Alcott,1868,4.05,1434656,19149
6969,Emma,1265,Jane Austen,1815,3.99,548506,13479
2156,Persuasion,1265,Jane Austen,1817,4.13,453158,14808
15823480,Anna Karenina,128382,Leo Tolstoy,1877,4.03,533299,20056
2956,The Adventures of Huckleberry Finn,1244,Mark Twain,1884,3.81,1062947,13651
14935,Sense and Sensibility,1265,Jane Austen,1811,4.06,841605,13103
1953,A Tale of Two Cities,239579,Charles Dickens,1859,3.82,727275,14682
2623,Great Expectations,239579,Charles Dickens,1860,3.76,564667,13620
5326,A Christmas Carol,239579,Charles Dickens,1843,4.03,503016,13644
4934,The Brothers Karamazov,3137322,Fyodor Dostoyevsky,1880,4.32,197349,8773
656,War and Peace,128382,Leo Tolstoy,1867,4.1,225863,9302
3590,The Adventures of Sherlock Holmes,2448,Arthur Conan Doyle,1892,4.3,208635,5670
92303,The Importance of Being Earnest,3565,Oscar Wilde,1895,4.17,265892,7477
24583,The Adventures of Tom Sawyer,1244,Mark Twain,1835,3.9,659527,8231
153747,"Moby-Dick or, The Whale",1624,Herman Melville,1851,3.48,432553,12741
295,Treasure Island,854076,Robert Louis Stevenson,1882,3.83,345462,9152
2175,Madame Bovary,1461,Gustave Flaubert,1856,3.66,210584,8650
22917,The Complete Grimm's Fairy Tales,2938140,Jacob Grimm,1812,4.31,133917,2060
12296,The Scarlet Letter,7799,Nathaniel Hawthorne,1850,3.38,614789,12725
32261,Tess of the D'Urbervilles,15905,Thomas Hardy,1891,3.78,212552,7472
7190,"The Three Musketeers (The D'Artagnan Romances, #1)",4785,Alexandre Dumas,1844,4.07,242095,5604
2493,The Time Machine,880695,H.G. Wells,1895,3.88,344011,8672
45032,Mansfield Park,1265,Jane Austen,1814,3.85,251055,7965
156538,North and South,1413437,Elizabeth Gaskell,1855,4.13,124068,6204
58696,David Copperfield,239579,Charles Dickens,1849,3.97,178113,5261
50398,Northanger Abbey,1265,Jane Austen,1818,3.81,259719,10049
18254,Oliver Twist,239579,Charles Dickens,1838,3.85,278569,6054
102868,"A Study in Scarlet (Sherlock Holmes, #1)",2448,Arthur Conan Doyle,1887,4.15,257633,8086
19089,Middlemarch,173,George Eliot,1871,3.94,120485,6126
51496,The Strange Case of Dr. Jekyll and Mr. Hyde,854076,Robert Louis Stevenson,1886,3.8,303035,9679
391729,The Tell-Tale Heart and Other Writings,4624490,Edgar Allan Poe,1982,4.16,201915,1105
236093,"The Wonderful Wizard of Oz (Oz, #1)",3242,L. Frank Baum,1900,3.98,310481,10196
14706,Faust: First Part,285217,Johann Wolfgang von Goethe,1808,3.93,52910,997
17876,"Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead",3137322,Fyodor Dostoyevsky,1864,4.17,71148,1721
31242,Bleak House,239579,Charles Dickens,1853,4.0,85110,3534
12505,The Idiot,3137322,Fyodor Dostoyevsky,1868,4.19,104108,3941
30597,The Hunchback of Notre-Dame,13661,Victor Hugo,1831,3.99,149836,3783
22463,The Origin of Species,12793,Charles Darwin,1858,3.98,83299,2011
